,species,divergence_from_human_mya,peptide_alphabet,peptide_reference,peptide_ksize,peptide_bloom_filter,jaccard_threshold,true_positives,true_negatives,false_positives,false_negatives,precision,recall,F1_score
60,Bos taurus,96.0,dayhoff,Swiss Prot,12,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k12.index,0.55,436,359.0,141,64.0,0.755632582322357,0.872,0.8096564531104921
61,Bos taurus,96.0,dayhoff,Swiss Prot,12,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k12.index,0.6,418,373.0,127,82.0,0.7669724770642202,0.836,0.7999999999999999
62,Bos taurus,96.0,dayhoff,Swiss Prot,13,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k13.index,0.45,405,406.0,94,95.0,0.811623246492986,0.81,0.8108108108108109
63,Bos taurus,96.0,dayhoff,Swiss Prot,13,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k13.index,0.5,390,411.0,89,110.0,0.81419624217119,0.78,0.7967313585291114
64,Bos taurus,96.0,dayhoff,Swiss Prot,13,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k13.index,0.55,371,428.0,72,129.0,0.837471783295711,0.742,0.7868504772004242
65,Bos taurus,96.0,dayhoff,Swiss Prot,13,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k13.index,0.6,354,441.0,59,146.0,0.8571428571428571,0.708,0.7754654983570646
66,Bos taurus,96.0,dayhoff,Swiss Prot,14,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k14.index,0.45,352,457.0,43,148.0,0.8911392405063291,0.704,0.7865921787709497
67,Bos taurus,96.0,dayhoff,Swiss Prot,14,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k14.index,0.5,344,465.0,35,156.0,0.9076517150395779,0.688,0.7827076222980659
68,Bos taurus,96.0,dayhoff,Swiss Prot,14,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k14.index,0.55,336,467.0,33,164.0,0.9105691056910569,0.672,0.7733026467203682
69,Bos taurus,96.0,dayhoff,Swiss Prot,14,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k14.index,0.6,315,468.0,32,185.0,0.9077809798270894,0.63,0.743801652892562
70,Bos taurus,96.0,dayhoff,Swiss Prot,15,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k15.index,0.45,340,474.0,26,160.0,0.9289617486338798,0.68,0.7852193995381064
71,Bos taurus,96.0,dayhoff,Swiss Prot,15,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k15.index,0.5,330,474.0,26,170.0,0.9269662921348315,0.66,0.7710280373831776
72,Bos taurus,96.0,dayhoff,Swiss Prot,15,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k15.index,0.55,311,479.0,21,189.0,0.9367469879518072,0.622,0.7475961538461539
73,Bos taurus,96.0,dayhoff,Swiss Prot,15,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k15.index,0.6,263,480.0,20,237.0,0.9293286219081273,0.526,0.6717752234993614
74,Bos taurus,96.0,dayhoff,Swiss Prot,16,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k16.index,0.45,327,482.0,18,173.0,0.9478260869565217,0.654,0.7739644970414201
75,Bos taurus,96.0,dayhoff,Swiss Prot,16,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k16.index,0.5,310,484.0,16,190.0,0.950920245398773,0.62,0.7506053268765133
76,Bos taurus,96.0,dayhoff,Swiss Prot,16,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k16.index,0.55,272,486.0,14,228.0,0.951048951048951,0.544,0.6921119592875318
77,Bos taurus,96.0,dayhoff,Swiss Prot,16,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k16.index,0.6,255,487.0,13,245.0,0.9514925373134329,0.51,0.6640625
78,Bos taurus,96.0,dayhoff,Swiss Prot,17,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k17.index,0.45,319,489.0,11,181.0,0.9666666666666667,0.638,0.7686746987951807
79,Bos taurus,96.0,dayhoff,Swiss Prot,17,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k17.index,0.5,280,492.0,8,220.0,0.9722222222222222,0.56,0.7106598984771574
80,Bos taurus,96.0,dayhoff,Swiss Prot,17,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k17.index,0.55,260,492.0,8,240.0,0.9701492537313433,0.52,0.6770833333333334
81,Bos taurus,96.0,dayhoff,Swiss Prot,17,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k17.index,0.6,248,492.0,8,252.0,0.96875,0.496,0.656084656084656
82,Bos taurus,96.0,dayhoff,Swiss Prot,19,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k19.index,0.5,262,492.0,8,238.0,0.9703703703703703,0.524,0.6805194805194805
83,Bos taurus,96.0,dayhoff,Swiss Prot,21,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k21.index,0.5,253,492.0,8,247.0,0.9693486590038314,0.506,0.6649145860709592
84,Bos taurus,96.0,dayhoff,Swiss Prot,23,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k23.index,0.5,243,496.0,4,257.0,0.9838056680161943,0.486,0.6506024096385542
85,Bos taurus,96.0,dayhoff,Swiss Prot,25,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k25.index,0.5,240,500.0,0,260.0,1.0,0.48,0.6486486486486487
86,Bos taurus,96.0,dayhoff,Swiss Prot,27,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k27.index,0.5,231,500.0,0,269.0,1.0,0.462,0.6320109439124487
87,Bos taurus,96.0,dayhoff,Swiss Prot,29,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k29.index,0.5,223,500.0,0,277.0,1.0,0.446,0.6168741355463347
88,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,13,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k13.index,0.75,451,202.0,298,49.0,0.6021361815754339,0.902,0.722177742193755
89,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,13,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k13.index,0.8,446,203.0,297,54.0,0.6002691790040376,0.892,0.7176186645213193
90,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,13,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k13.index,0.85,442,204.0,296,58.0,0.5989159891598916,0.884,0.7140549273021003
91,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,13,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k13.index,0.9,436,207.0,293,64.0,0.598079561042524,0.872,0.709519934906428
92,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,15,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k15.index,0.75,450,202.0,298,50.0,0.6016042780748663,0.9,0.7211538461538461
93,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,15,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k15.index,0.8,446,204.0,296,54.0,0.601078167115903,0.892,0.7181964573268921
94,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,15,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k15.index,0.85,442,205.0,295,58.0,0.5997286295793759,0.884,0.7146321746160065
95,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,15,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k15.index,0.9,436,207.0,293,64.0,0.598079561042524,0.872,0.709519934906428
96,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,17,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k17.index,0.75,450,202.0,298,50.0,0.6016042780748663,0.9,0.7211538461538461
97,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,17,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k17.index,0.8,444,204.0,296,56.0,0.6,0.888,0.7161290322580645
98,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,17,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k17.index,0.85,441,207.0,293,59.0,0.6008174386920981,0.882,0.7147487844408429
99,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,17,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k17.index,0.9,436,207.0,293,64.0,0.598079561042524,0.872,0.709519934906428
100,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,19,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k19.index,0.75,446,214.0,286,54.0,0.6092896174863388,0.892,0.7240259740259741
101,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,19,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k19.index,0.8,444,215.0,285,56.0,0.6090534979423868,0.888,0.7225386493083807
102,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,19,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k19.index,0.85,438,218.0,282,62.0,0.6083333333333333,0.876,0.7180327868852459
103,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,19,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k19.index,0.9,436,218.0,282,64.0,0.6072423398328691,0.872,0.715927750410509
104,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,21,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k21.index,0.75,446,228.0,272,54.0,0.6211699164345403,0.892,0.7323481116584566
105,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,21,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k21.index,0.8,442,230.0,270,58.0,0.6207865168539326,0.884,0.7293729372937293
106,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,21,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k21.index,0.85,438,232.0,268,62.0,0.6203966005665722,0.876,0.72636815920398
107,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,21,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k21.index,0.9,432,238.0,262,68.0,0.622478386167147,0.864,0.7236180904522612
108,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,23,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k23.index,0.75,340,361.0,139,160.0,0.7098121085594989,0.68,0.6945863125638406
109,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,23,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k23.index,0.8,314,382.0,118,186.0,0.7268518518518519,0.628,0.6738197424892705
110,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,23,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k23.index,0.85,275,419.0,81,225.0,0.7724719101123596,0.55,0.6425233644859814
111,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,23,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k23.index,0.9,199,443.0,57,301.0,0.77734375,0.398,0.5264550264550264
112,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,25,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k25.index,0.8,157,497.0,3,343.0,0.98125,0.314,0.47575757575757577
113,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,29,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k29.index,0.8,132,500.0,0,368.0,1.0,0.264,0.4177215189873418
114,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,31,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k31.index,0.8,126,500.0,0,374.0,1.0,0.252,0.402555910543131
115,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,33,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k33.index,0.8,124,500.0,0,376.0,1.0,0.248,0.3974358974358974
116,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,35,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k35.index,0.8,121,500.0,0,379.0,1.0,0.242,0.3896940418679549
117,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,37,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k37.index,0.8,120,500.0,0,380.0,1.0,0.24,0.3870967741935484
118,Bos taurus,96.0,hydrophobic-polar,Homo sapiens QfO,39,output_simreads/sencha/index/refHsapiens_QfO_t1e8_hp_k39.index,0.8,119,500.0,0,381.0,1.0,0.238,0.38449111470113084
119,Bos taurus,96.0,hydrophobic-polar,Swiss Prot,13,output_simreads/sencha/index/refsprot_t1e9_hp_k13.index,0.75,487,192.0,308,13.0,0.6125786163522012,0.974,0.7521235521235522
120,Bos taurus,96.0,hydrophobic-polar,Swiss Prot,13,output_simreads/sencha/index/refsprot_t1e9_hp_k13.index,0.8,479,194.0,306,21.0,0.6101910828025477,0.958,0.7455252918287938
121,Bos taurus,96.0,hydrophobic-polar,Swiss Prot,13,output_simreads/sencha/index/refsprot_t1e9_hp_k13.index,0.85,465,198.0,302,35.0,0.60625814863103,0.93,0.7340173638516181
122,Bos taurus,96.0,hydrophobic-polar,Swiss Prot,13,output_simreads/sencha/index/refsprot_t1e9_hp_k13.index,0.9,452,203.0,297,48.0,0.6034712950600801,0.904,0.7237790232185749
123,Bos taurus,96.0,hydrophobic-polar,Swiss Prot,15,output_simreads/sencha/index/refsprot_t1e9_hp_k15.index,0.75,458,201.0,299,42.0,0.6050198150594451,0.916,0.7287191726332538
124,Bos taurus,96.0,hydrophobic-polar,Swiss Prot,15,output_simreads/sencha/index/refsprot_t1e9_hp_k15.index,0.8,450,203.0,297,50.0,0.6024096385542169,0.9,0.7217321571772254
125,Bos taurus,96.0,hydrophobic-polar,Swiss Prot,15,output_simreads/sencha/index/refsprot_t1e9_hp_k15.index,0.85,448,205.0,295,52.0,0.6029609690444145,0.896,0.7208366854384552
126,Bos taurus,96.0,hydrophobic-polar,Swiss Prot,15,output_simreads/sencha/index/refsprot_t1e9_hp_k15.index,0.9,441,206.0,294,59.0,0.6,0.882,0.71417004048583
127,Bos taurus,96.0,hydrophobic-polar,Swiss Prot,17,output_simreads/sencha/index/refsprot_t1e9_hp_k17.index,0.75,452,202.0,298,48.0,0.6026666666666667,0.904,0.7232
128,Bos taurus,96.0,hydrophobic-polar,Swiss Prot,17,output_simreads/sencha/index/refsprot_t1e9_hp_k17.index,0.8,444,204.0,296,56.0,0.6,0.888,0.7161290322580645
129,Bos taurus,96.0,hydrophobic-polar,Swiss Prot,17,output_simreads/sencha/index/refsprot_t1e9_hp_k17.index,0.85,442,207.0,293,58.0,0.601360544217687,0.884,0.7157894736842105
130,Bos taurus,96.0,hydrophobic-polar,Swiss Prot,17,output_simreads/sencha/index/refsprot_t1e9_hp_k17.index,0.9,436,207.0,293,64.0,0.598079561042524,0.872,0.709519934906428
131,Bos taurus,96.0,hydrophobic-polar,Swiss Prot,19,output_simreads/sencha/index/refsprot_t1e9_hp_k19.index,0.75,446,214.0,286,54.0,0.6092896174863388,0.892,0.7240259740259741
